person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
39,45301,RENT,6.0,MEDICAL,5700.0,5.0,0,0.13,N,18
40,16024,RENT,4.0,PERSONAL,1500.0,12.48,0,0.09,Y,20
60,107198,OWN,4.0,VENTURE,24800.0,12.72,0,0.23,N,30
38,78327,MORTGAGE,5.0,DEBTCONSOLIDATION,17900.0,,0,0.23,N,17
41,44266,RENT,2.0,HOMEIMPROVEMENT,6700.0,13.87,1,0.15,N,19
39,79556,RENT,2.0,HOMEIMPROVEMENT,20700.0,9.79,1,0.26,N,21
33,40976,RENT,4.0,PERSONAL,4700.0,,1,0.11,N,11
48,57456,MORTGAGE,2.0,EDUCATION,6100.0,5.0,0,0.11,N,30
45,18740,RENT,2.0,HOMEIMPROVEMENT,2200.0,11.17,0,0.12,N,27
45,55735,RENT,1.0,EDUCATION,6800.0,11.7,0,0.12,N,25
35,42588,RENT,1.0,EDUCATION,9200.0,11.32,1,0.22,N,15
50,54668,RENT,6.0,HOMEIMPROVEMENT,7100.0,13.54,0,0.13,N,29
32,115260,RENT,0.0,MEDICAL,16700.0,14.58,1,0.14,Y,12
43,48579,OWN,0.0,HOMEIMPROVEMENT,16600.0,9.5,1,0.34,Y,25
57,38997,RENT,14.0,MEDICAL,2200.0,15.91,0,0.06,Y,30
34,39214,OWN,1.0,HOMEIMPROVEMENT,6800.0,8.86,0,0.17,N,16
36,24147,RENT,2.0,VENTURE,1500.0,,1,0.06,Y,17
40,60001,RENT,9.0,PERSONAL,14300.0,11.71,1,0.24,N,20
37,64037,MORTGAGE,0.0,HOMEIMPROVEMENT,12000.0,14.92,0,0.19,N,15
32,50651,RENT,12.0,DEBTCONSOLIDATION,3200.0,9.49,0,0.06,N,10
40,77649,MORTGAGE,0.0,EDUCATION,7600.0,11.39,1,0.1,Y,20
34,78019,RENT,0.0,PERSONAL,13700.0,12.18,1,0.18,Y,12
43,50763,RENT,0.0,DEBTCONSOLIDATION,9400.0,,0,0.19,N,24
34,65693,MORTGAGE,3.0,MEDICAL,5600.0,7.34,0,0.09,N,12
51,145269,RENT,14.0,MEDICAL,22900.0,8.06,0,0.16,N,30
35,32499,RENT,9.0,PERSONAL,2500.0,13.81,0,0.08,Y,15
38,72156,OWN,5.0,VENTURE,10700.0,10.31,1,0.15,N,18
45,51196,MORTGAGE,1.0,MEDICAL,5300.0,7.66,0,0.1,N,23
33,82692,MORTGAGE,10.0,EDUCATION,21300.0,6.08,0,0.26,N,15
41,32967,RENT,7.0,EDUCATION,4000.0,9.92,0,0.12,N,20
49,54184,RENT,,PERSONAL,4000.0,,1,0.07,N,27
31,34899,RENT,8.0,DEBTCONSOLIDATION,4600.0,14.8,1,0.13,N,11
41,20262,OWN,10.0,HOMEIMPROVEMENT,2500.0,5.67,0,0.12,N,21
41,98933,MORTGAGE,5.0,VENTURE,24300.0,12.64,1,0.25,Y,21
45,39449,RENT,0.0,VENTURE,8000.0,15.07,1,0.2,N,24
33,32169,RENT,17.0,PERSONAL,4800.0,,0,0.15,N,12
33,36737,MORTGAGE,0.0,PERSONAL,2900.0,5.0,0,0.08,N,15
43,122054,MORTGAGE,5.0,DEBTCONSOLIDATION,18700.0,12.11,0,0.15,N,22
41,94397,OWN,0.0,DEBTCONSOLIDATION,7000.0,15.9,0,0.07,N,21
41,43954,RENT,11.0,EDUCATION,8900.0,9.72,1,0.2,N,19
42,75409,MORTGAGE,,HOMEIMPROVEMENT,11900.0,8.62,0,0.16,Y,21
36,28633,RENT,3.0,EDUCATION,2300.0,9.26,1,0.08,N,16
41,63689,MORTGAGE,0.0,PERSONAL,11400.0,8.58,0,0.18,N,19
41,39526,OWN,3.0,MEDICAL,11200.0,9.15,0,0.28,N,20
36,60965,MORTGAGE,13.0,HOMEIMPROVEMENT,15500.0,10.92,0,0.25,Y,15
54,24664,RENT,11.0,EDUCATION,2300.0,7.75,0,0.09,N,30
43,36404,RENT,0.0,VENTURE,7700.0,12.69,0,0.21,N,22
33,53689,MORTGAGE,2.0,EDUCATION,9900.0,6.21,0,0.18,N,12
44,53405,RENT,1.0,DEBTCONSOLIDATION,11500.0,15.33,0,0.22,N,26
34,23590,RENT,3.0,EDUCATION,4800.0,15.88,0,0.2,N,14
45,30154,RENT,8.0,EDUCATION,4200.0,13.31,0,0.14,N,26
48,60579,MORTGAGE,6.0,VENTURE,4500.0,5.77,0,0.07,N,27
35,57126,MORTGAGE,2.0,PERSONAL,6700.0,10.52,0,0.12,N,15
46,68033,RENT,2.0,HOMEIMPROVEMENT,8800.0,10.67,1,0.13,N,25
42,53912,RENT,5.0,MEDICAL,16500.0,11.78,0,0.31,Y,24
45,28952,RENT,1.0,MEDICAL,2500.0,7.09,0,0.09,Y,27
54,41072,MORTGAGE,0.0,MEDICAL,7500.0,9.87,0,0.18,N,30
38,63928,MORTGAGE,1.0,MEDICAL,8700.0,11.23,1,0.14,Y,16
35,29708,RENT,0.0,HOMEIMPROVEMENT,3800.0,13.37,0,0.13,N,14
35,27917,RENT,2.0,DEBTCONSOLIDATION,3300.0,13.39,1,0.12,N,13
35,42130,RENT,13.0,PERSONAL,9500.0,9.72,0,0.23,N,15
39,56147,MORTGAGE,0.0,EDUCATION,5500.0,8.83,0,0.1,N,20
42,19508,RENT,8.0,EDUCATION,2400.0,10.62,1,0.12,Y,23
41,43423,RENT,3.0,MEDICAL,8600.0,11.49,1,0.2,Y,20
45,63531,RENT,5.0,EDUCATION,5500.0,11.09,0,0.09,N,24
40,70100,MORTGAGE,0.0,PERSONAL,7500.0,9.54,0,0.11,N,21
50,29677,RENT,0.0,PERSONAL,2300.0,11.37,0,0.08,Y,30
38,59040,RENT,0.0,EDUCATION,14500.0,11.04,1,0.25,Y,17
63,80567,RENT,,VENTURE,6100.0,11.94,0,0.08,N,30
44,66393,RENT,6.0,PERSONAL,5000.0,7.03,0,0.08,N,23
35,39897,MORTGAGE,12.0,EDUCATION,5400.0,7.3,0,0.14,N,15
34,14874,RENT,2.0,DEBTCONSOLIDATION,1300.0,,0,0.09,N,15
43,54430,MORTGAGE,3.0,VENTURE,10600.0,9.48,0,0.19,N,22
38,107935,OWN,3.0,MEDICAL,22400.0,9.56,0,0.21,N,20
44,74016,MORTGAGE,1.0,EDUCATION,7500.0,7.75,0,0.1,N,24
43,71488,RENT,1.0,VENTURE,13300.0,16.08,1,0.19,N,25
39,53329,RENT,9.0,MEDICAL,6300.0,10.36,0,0.12,N,19
35,76756,MORTGAGE,2.0,DEBTCONSOLIDATION,15100.0,5.0,0,0.2,N,13
32,57047,MORTGAGE,10.0,MEDICAL,11500.0,8.05,0,0.2,N,14
37,20473,OWN,1.0,DEBTCONSOLIDATION,2100.0,11.83,0,0.1,N,19
45,76557,OWN,2.0,PERSONAL,9700.0,10.36,0,0.13,N,27
41,31870,RENT,4.0,EDUCATION,3500.0,6.23,0,0.11,N,23
33,50697,RENT,0.0,DEBTCONSOLIDATION,6900.0,10.58,0,0.14,N,15
41,70941,RENT,12.0,EDUCATION,13900.0,7.92,0,0.2,N,22
42,33705,MORTGAGE,8.0,VENTURE,2900.0,7.01,0,0.09,N,21
35,29950,RENT,5.0,DEBTCONSOLIDATION,4600.0,9.14,0,0.15,N,17
40,62230,MORTGAGE,22.0,HOMEIMPROVEMENT,8400.0,13.75,0,0.13,N,18
40,28092,RENT,0.0,VENTURE,9100.0,9.01,0,0.32,N,20
33,44516,MORTGAGE,2.0,MEDICAL,7300.0,7.3,0,0.16,N,14
42,86179,MORTGAGE,9.0,VENTURE,18400.0,5.99,0,0.21,N,21
43,110553,MORTGAGE,2.0,VENTURE,13200.0,5.0,0,0.12,N,24
47,20114,RENT,0.0,DEBTCONSOLIDATION,2900.0,9.18,0,0.14,N,28
47,43943,RENT,0.0,HOMEIMPROVEMENT,4300.0,10.14,0,0.1,N,25
32,92506,MORTGAGE,2.0,DEBTCONSOLIDATION,14900.0,9.67,1,0.16,N,11
34,40173,RENT,5.0,DEBTCONSOLIDATION,11300.0,16.93,0,0.28,N,12
43,72834,MORTGAGE,0.0,VENTURE,9000.0,11.12,0,0.12,N,21
43,75633,OWN,2.0,PERSONAL,13200.0,6.11,0,0.17,N,22
43,36117,MORTGAGE,0.0,VENTURE,8600.0,13.05,0,0.24,N,24
79,60737,RENT,3.0,EDUCATION,4800.0,11.76,0,0.08,N,30
43,62613,RENT,11.0,VENTURE,10800.0,10.41,0,0.17,N,24
48,77272,RENT,4.0,PERSONAL,14500.0,13.07,0,0.19,N,26
46,21751,OTHER,2.0,MEDICAL,3500.0,9.88,0,0.16,N,25
44,93565,MORTGAGE,0.0,HOMEIMPROVEMENT,9100.0,8.68,0,0.1,N,25
38,69108,RENT,1.0,EDUCATION,9800.0,12.46,0,0.14,N,18
45,27856,RENT,0.0,VENTURE,2900.0,13.28,0,0.1,N,23
35,45986,MORTGAGE,6.0,PERSONAL,12900.0,8.61,0,0.28,N,17
38,74527,RENT,0.0,EDUCATION,8000.0,14.59,1,0.11,N,19
37,28608,RENT,2.0,HOMEIMPROVEMENT,5400.0,10.54,0,0.19,N,15
40,30876,RENT,6.0,MEDICAL,3100.0,13.06,1,0.1,Y,19
59,49479,RENT,6.0,HOMEIMPROVEMENT,4200.0,10.31,0,0.08,N,30
30,39414,RENT,4.0,EDUCATION,3900.0,10.18,0,0.1,N,12
44,55572,MORTGAGE,4.0,PERSONAL,4300.0,11.28,0,0.08,Y,25
31,73975,RENT,0.0,VENTURE,9100.0,8.05,1,0.12,Y,13
37,56169,RENT,0.0,EDUCATION,5900.0,10.99,0,0.11,N,16
47,48769,RENT,3.0,PERSONAL,12200.0,8.64,0,0.25,N,28
40,74145,MORTGAGE,2.0,PERSONAL,10500.0,,0,0.14,N,20
34,46516,RENT,0.0,VENTURE,8100.0,15.95,0,0.17,N,14
36,33763,RENT,8.0,PERSONAL,3000.0,,1,0.09,N,16
44,87347,RENT,5.0,DEBTCONSOLIDATION,16800.0,13.53,0,0.19,N,26
35,14628,MORTGAGE,1.0,PERSONAL,1800.0,6.0,1,0.12,N,16
41,50616,MORTGAGE,,DEBTCONSOLIDATION,6600.0,7.8,0,0.13,N,21
40,40876,OWN,4.0,VENTURE,2700.0,9.39,0,0.07,Y,22
36,30900,RENT,2.0,EDUCATION,3600.0,9.48,1,0.12,N,17
57,56914,MORTGAGE,1.0,MEDICAL,6200.0,9.32,0,0.11,N,30
44,61689,MORTGAGE,6.0,EDUCATION,5100.0,11.49,0,0.08,N,24
30,32386,MORTGAGE,1.0,MEDICAL,2600.0,8.39,0,0.08,N,10
41,24392,MORTGAGE,0.0,VENTURE,3700.0,7.96,0,0.15,N,23
36,25515,RENT,3.0,MEDICAL,7700.0,15.42,1,0.3,Y,18
45,121372,MORTGAGE,8.0,VENTURE,21200.0,6.0,0,0.17,N,25
35,128264,MORTGAGE,9.0,MEDICAL,28700.0,,0,0.22,N,14
39,49750,MORTGAGE,9.0,VENTURE,7200.0,8.85,0,0.14,N,21
43,24691,RENT,2.0,VENTURE,3900.0,8.85,0,0.16,N,25
45,45585,MORTGAGE,7.0,VENTURE,13900.0,12.91,0,0.3,N,25
33,16312,MORTGAGE,9.0,VENTURE,3200.0,9.96,0,0.2,N,15
38,57374,RENT,3.0,DEBTCONSOLIDATION,4800.0,14.05,1,0.08,N,18
37,29821,OWN,1.0,VENTURE,3900.0,12.84,0,0.13,N,17
36,26766,OTHER,6.0,HOMEIMPROVEMENT,2600.0,,0,0.1,N,17
53,79923,OWN,11.0,VENTURE,7400.0,12.87,0,0.09,N,30
42,45382,MORTGAGE,17.0,MEDICAL,7600.0,8.97,0,0.17,N,22
33,75572,MORTGAGE,1.0,DEBTCONSOLIDATION,14700.0,10.1,0,0.19,N,15
46,89631,MORTGAGE,15.0,HOMEIMPROVEMENT,30000.0,12.58,1,0.33,N,24
57,46878,RENT,3.0,PERSONAL,5400.0,,1,0.12,N,30
47,48895,RENT,1.0,MEDICAL,13700.0,12.7,1,0.28,Y,25
32,83211,MORTGAGE,16.0,MEDICAL,14200.0,8.89,0,0.17,N,13
37,37444,OWN,10.0,MEDICAL,5400.0,9.13,0,0.14,N,18
49,87318,MORTGAGE,5.0,VENTURE,13200.0,5.67,0,0.15,N,27
36,17825,OWN,11.0,DEBTCONSOLIDATION,2400.0,6.31,0,0.13,N,15
42,41052,RENT,5.0,DEBTCONSOLIDATION,5300.0,8.48,0,0.13,N,24
45,53832,RENT,2.0,HOMEIMPROVEMENT,4600.0,11.59,0,0.09,N,26
34,26836,RENT,14.0,VENTURE,4100.0,11.22,1,0.15,N,14
39,58969,RENT,16.0,MEDICAL,9700.0,12.0,0,0.16,N,21
26,53429,MORTGAGE,1.0,VENTURE,7000.0,13.13,0,0.13,N,6
34,33993,RENT,2.0,PERSONAL,14000.0,11.91,0,0.41,N,13
38,33349,RENT,2.0,PERSONAL,3600.0,13.01,1,0.11,Y,19
33,31697,RENT,8.0,VENTURE,7200.0,14.43,0,0.23,N,13
52,22398,MORTGAGE,7.0,VENTURE,6000.0,7.44,1,0.27,N,30
32,109649,MORTGAGE,16.0,HOMEIMPROVEMENT,11300.0,5.59,0,0.1,N,13
37,44126,OWN,3.0,HOMEIMPROVEMENT,4900.0,8.66,0,0.11,N,17
40,24923,RENT,6.0,HOMEIMPROVEMENT,3900.0,11.8,0,0.16,N,21
50,46113,MORTGAGE,9.0,DEBTCONSOLIDATION,5400.0,6.0,0,0.12,N,30
32,55268,MORTGAGE,1.0,HOMEIMPROVEMENT,8800.0,5.0,0,0.16,N,10
48,32564,RENT,4.0,VENTURE,2100.0,13.12,0,0.06,N,26
40,40850,MORTGAGE,3.0,PERSONAL,3600.0,,0,0.09,N,20
34,94089,RENT,6.0,VENTURE,5800.0,8.75,0,0.06,N,14
43,27340,MORTGAGE,5.0,VENTURE,4000.0,10.76,0,0.15,N,24
41,36651,MORTGAGE,8.0,DEBTCONSOLIDATION,3300.0,,0,0.09,N,21
36,17985,RENT,1.0,MEDICAL,4000.0,5.53,1,0.22,N,14
40,121983,MORTGAGE,1.0,EDUCATION,14000.0,8.76,0,0.11,N,20
37,68124,OWN,8.0,PERSONAL,17800.0,11.93,1,0.26,N,18
40,47821,MORTGAGE,2.0,EDUCATION,11700.0,,0,0.24,N,21
44,34234,MORTGAGE,1.0,EDUCATION,4700.0,11.17,0,0.14,N,24
51,33389,RENT,2.0,DEBTCONSOLIDATION,7400.0,14.77,0,0.22,N,30
33,42850,MORTGAGE,0.0,MEDICAL,3600.0,6.15,0,0.08,N,15
57,62823,RENT,7.0,MEDICAL,4700.0,,0,0.07,N,30
30,28802,RENT,6.0,EDUCATION,1700.0,8.79,0,0.06,N,11
39,38888,RENT,4.0,VENTURE,9800.0,9.87,0,0.25,N,20
43,75254,OWN,6.0,VENTURE,11000.0,9.71,0,0.15,N,22
41,109597,MORTGAGE,2.0,PERSONAL,13800.0,8.83,0,0.13,Y,20
36,64329,RENT,1.0,EDUCATION,15100.0,9.66,0,0.23,N,17
38,35203,MORTGAGE,9.0,PERSONAL,6000.0,10.9,0,0.17,N,18
37,45365,MORTGAGE,2.0,VENTURE,8500.0,10.36,0,0.19,N,17
36,60243,MORTGAGE,1.0,MEDICAL,6300.0,8.99,0,0.1,N,14
45,42373,MORTGAGE,6.0,HOMEIMPROVEMENT,3100.0,10.07,0,0.07,Y,27
42,69977,MORTGAGE,2.0,VENTURE,12100.0,8.36,0,0.17,N,21
36,34029,RENT,1.0,HOMEIMPROVEMENT,5000.0,12.82,0,0.15,N,17
46,109825,MORTGAGE,0.0,DEBTCONSOLIDATION,14900.0,8.71,0,0.14,N,24
41,46922,RENT,17.0,MEDICAL,6400.0,9.6,0,0.14,N,19
45,35755,MORTGAGE,3.0,DEBTCONSOLIDATION,5100.0,,0,0.14,N,27
44,65894,MORTGAGE,0.0,MEDICAL,6400.0,8.58,0,0.1,N,23
35,30044,RENT,7.0,MEDICAL,2700.0,9.26,0,0.09,N,15
36,52784,OWN,,PERSONAL,5500.0,10.9,0,0.1,N,16
45,98785,MORTGAGE,3.0,EDUCATION,22200.0,10.68,0,0.22,N,24
44,26682,RENT,0.0,VENTURE,4600.0,13.3,0,0.17,Y,22
39,88938,MORTGAGE,2.0,MEDICAL,7000.0,9.49,0,0.08,N,17
40,25706,RENT,1.0,PERSONAL,7100.0,11.14,0,0.28,N,18
49,73883,RENT,5.0,HOMEIMPROVEMENT,10400.0,12.57,0,0.14,N,30
36,30537,RENT,,EDUCATION,4900.0,11.92,0,0.16,N,16
43,88957,MORTGAGE,2.0,VENTURE,6600.0,8.29,0,0.07,N,24
38,36752,RENT,5.0,HOMEIMPROVEMENT,5100.0,7.96,0,0.14,N,20
38,41017,OWN,4.0,MEDICAL,7300.0,,1,0.18,N,18
47,30662,RENT,11.0,EDUCATION,5100.0,13.03,0,0.17,N,26
45,14677,MORTGAGE,4.0,PERSONAL,2000.0,9.37,0,0.14,N,23
45,27690,MORTGAGE,3.0,EDUCATION,3800.0,6.75,0,0.14,N,27
49,21115,RENT,8.0,MEDICAL,2100.0,13.06,0,0.1,N,28
40,17660,OWN,1.0,DEBTCONSOLIDATION,2900.0,5.52,0,0.16,N,21
44,56782,MORTGAGE,,VENTURE,8600.0,10.71,0,0.15,N,25
38,105075,RENT,7.0,HOMEIMPROVEMENT,13000.0,9.64,0,0.12,N,16
42,120412,OWN,2.0,DEBTCONSOLIDATION,18100.0,8.61,0,0.15,N,21
39,27411,RENT,2.0,MEDICAL,2700.0,10.04,0,0.1,Y,19
40,46399,OWN,10.0,PERSONAL,15700.0,12.87,0,0.34,N,18
43,87763,MORTGAGE,4.0,DEBTCONSOLIDATION,8000.0,11.59,1,0.09,N,23
35,25443,RENT,8.0,PERSONAL,2400.0,6.78,0,0.09,N,17
56,89483,MORTGAGE,8.0,HOMEIMPROVEMENT,20800.0,11.7,0,0.23,N,30
34,90221,MORTGAGE,0.0,VENTURE,17500.0,10.22,0,0.19,N,13
33,18526,RENT,5.0,HOMEIMPROVEMENT,2200.0,10.63,0,0.12,N,13
48,15093,RENT,15.0,EDUCATION,1200.0,10.57,1,0.08,N,26
45,40130,OWN,3.0,HOMEIMPROVEMENT,2500.0,7.46,0,0.06,N,25
